,date,pollster,n,Bulstrode,Casaubon,Chettam,Lydgate,Others,Vincy
0,2024-03-16,Policy Voice Polling,1457,0.43074276740536693,0.37105572718582747,,0.0027054233858875287,0.10570396578027741,0.15388558155413123
1,2024-03-16,Bardi University,653,0.3863362087849604,,,0.35177711954501323,0.34852604537896253,0.21446560110717872
2,2024-03-14,Pulse Analytics,2015,0.12746953551409007,,,0.42357269882436965,0.14210851208554243,0.41566439883120576
3,2024-03-13,Verity Insights,1517,0.3140573748080449,0.475054441913453,,0.29866893574145814,0.25302894582282903,0.23963124401220753
4,2024-03-11,Mandate Metrics,1914,0.02964676511464015,0.1596179119965233,,0.08251861277460582,0.48356868739128717,0.4743057336986509
5,2024-03-11,DemocracyMeter,756,0.4071222455288162,,,0.3586446238173142,0.22282613141157315,0.28853813750334056
6,2024-03-11,Mawmsey Reports,3033,0.012701974746385292,0.02527713976636614,,0.4951110225780745,0.09903911624860995,0.3866424464862708
7,2024-03-10,Civic Pulse,2615,0.4572005844547812,,,0.07459409576397252,0.29120022962739406,0.25184623057338495
8,2024-03-10,Bardi University,664,0.051911380362052395,,,0.3830408902209741,0.004348565233529,0.3041402966866972
9,2024-03-09,Policy Voice Polling,1465,0.2934866326611853,0.2731265336722403,,0.4234860718218652,0.09786569323595212,0.06295721239197533
10,2024-03-06,Verity Insights,1573,0.4346013413943372,0.23047259784520174,,0.06500026233205802,0.11629427697580086,0.15143258561358497
11,2024-03-06,Capitol Opinion Research,981,0.30702765975964197,0.16033477549176106,,0.38448075622915556,0.09364420079900526,0.0253826619501083
12,2024-03-04,DemocracyMeter,772,0.2697788905535852,0.4508660451424239,,0.21106337856438823,0.4388286416313703,0.4604446326360422
13,2024-03-04,Bardi University,677,0.40495749390008157,,,0.33593182678687106,0.473325431789188,0.03211472335387644
14,2024-03-02,Policy Voice Polling,1409,0.4049085939692101,0.07933089315469838,,0.21365955206961385,0.33282596661456987,0.2746023884201924
15,2024-02-29,Pulse Analytics,2037,0.4072896078426942,0.031831214019240606,,0.33562762615337827,0.31651058053292946,0.3904442647036667
16,2024-02-28,Verity Insights,1589,0.21454126318592542,0.2685566149672903,,0.3461796858115212,0.12812666062380423,0.004255717461915387
17,2024-02-27,Bardi University,660,0.2423830775453627,,,0.4556440006725121,0.10384294898499907,0.410741306178914
18,2024-02-26,Mandate Metrics,2036,0.09843207601636761,,,0.35810995573574006,0.2466034902793729,0.23534272625130387
19,2024-02-26,DemocracyMeter,706,0.4386354427226392,0.26590173047994403,,0.3231768222665899,0.494382840037746,0.08612027003531825
20,2024-02-25,Civic Pulse,2541,0.2593207236846679,0.2194757363886351,,0.4368176222715783,0.4994816893828008,0.10460622810834797
21,2024-02-24,Policy Voice Polling,1403,0.15774110495110766,0.36753756918057756,,0.3706062080393365,0.16991841125264867,0.4458337258524752
22,2024-02-23,University of Bellville-sur-Mer,1538,0.03996518474306815,0.13468379869718433,0.11948584746918722,0.25953195635203213,0.48676085652169343,0.3640117957682118
23,2024-02-23,University of Bellville-sur-Mer,1538,0.23408804029975938,0.3686637894340521,0.03786746233771082,0.019280994569439436,0.22921041408983572,0.3745848581015823
24,2024-02-21,Verity Insights,1529,0.10152054416105533,0.4255727910003152,,0.003219657605080639,0.01427691355801003,0.38483329102007474
25,2024-02-21,Capitol Opinion Research,1020,0.047183397731605514,0.15880243064451727,,0.37575352483595087,0.30401239599447677,0.010314606520355929
26,2024-02-21,Bardi University,675,0.4108219807497109,,,0.2768189741109779,0.43102055327367383,0.13085072366392392
27,2024-02-19,DemocracyMeter,724,0.41589927840111857,0.48040689806552506,,0.16130512824787957,0.4981218994252175,0.07385877297281385
28,2024-02-17,Policy Voice Polling,1446,0.19606228606969123,0.2994928600287623,0.49589405483727883,0.08973586637407421,0.19733326632784526,0.39386595721428114
29,2024-02-15,Pulse Analytics,2078,0.084354023136824,0.43427802197729365,,0.08574644777399065,0.2043238064196451,0.3497068190228807
30,2024-02-15,Bardi University,676,0.09351377577050474,,,0.43042024348693414,0.2431833806616877,0.20520926981717674
31,2024-02-14,Verity Insights,1486,0.288450556526185,0.024927824126240505,,0.10267401140347754,0.0127125441068483,0.0876107998518782
32,2024-02-12,Mandate Metrics,1916,0.08708271200165135,0.34880431202521317,,0.03816352105504389,0.173278189488625,0.1783859924607662
33,2024-02-12,DemocracyMeter,713,0.3099003413509852,0.2131707566087544,,0.432624749927724,0.35582337254284485,0.16595243706363927
34,2024-02-11,Civic Pulse,2552,0.1373126520387547,0.4574257378512491,,0.075140538132417,0.011500971051312758,0.25880900826441444
35,2024-02-10,Policy Voice Polling,1511,0.39273978989064695,0.03543752808940376,,0.2637539768219402,0.03308408593052753,0.24435599097851352
36,2024-02-10,Mawmsey Reports,3144,0.13510242037821607,0.3579189407363887,,0.01963699631896232,0.38222196384503043,0.47216703135117016
37,2024-02-09,Bardi University,666,2.9301027770545218e-05,,,0.10762502150454195,0.14202745332189826,0.45932187061736773
38,2024-02-07,Verity Insights,1521,0.39597687859562775,0.08270236978849632,,0.012088407188397543,0.04990318677204958,0.00454416351575071
39,2024-02-07,Capitol Opinion Research,1020,0.04502105217898894,0.12733802530599758,,0.14771110669647147,0.465236207966109,0.12263421406688035
40,2024-02-05,DemocracyMeter,702,0.37426556502640707,0.12816923912859168,,0.2765835062520956,0.22523226837449106,0.30738253870930715
41,2024-02-03,Policy Voice Polling,1475,0.12701065006611556,0.2311537968240499,0.39993584630318985,0.474032615579568,0.12263310548051709,0.4397165481110851
42,2024-02-03,Bardi University,697,0.2702926772818146,,,0.4955921657893008,0.062053584045687005,0.06576951120463859
43,2024-02-01,Pulse Analytics,2085,0.31942908643661794,0.3819646792416447,,0.04183355820454637,0.23876465165222516,0.10535858752503591
44,2024-01-31,Verity Insights,1452,0.17210533794869853,0.25543087615064636,,0.42465031356042915,0.21946105574935887,0.3140854693055226
45,2024-01-29,Mandate Metrics,1930,0.26134767936451153,,,0.16568299935831832,0.0033846170016214594,0.49846503935821035
46,2024-01-29,DemocracyMeter,759,0.04689026327257145,0.0956271861245433,,0.49929272278732845,0.297851912424416,0.2763308316833062
47,2024-01-28,Civic Pulse,2531,0.44779483677558785,0.05384828514618695,,0.457671197386351,0.06972143915686096,0.4868202558317617
48,2024-01-28,Bardi University,669,0.20697106319366415,,,0.37342007223050344,0.1899266811972548,0.09620936872036934
49,2024-01-27,Policy Voice Polling,1466,0.43987547421002554,0.26648931075813187,0.4949373760039609,0.2770562994510457,0.4005479280109085,0.10320484552957632
50,2024-01-26,University of Bellville-sur-Mer,1627,0.240626719842023,0.48734953566970096,0.2126958410182866,0.22153365832560573,0.34294629521410713,0.2131318450482561
51,2024-01-26,University of Bellville-sur-Mer,1627,0.2888723376081397,0.420539821469965,0.38334568561526006,0.4895614440782016,0.05084021983248038,0.33596839193754424
52,2024-01-24,Verity Insights,1545,0.11041751862651245,0.42685087769548896,,0.40036600078529155,0.2958541044603511,0.33029200536131514
53,2024-01-24,Capitol Opinion Research,1009,0.3138570341623672,0.08933733395956922,,0.36452642527442825,0.21488032539648033,0.24995544430497163
54,2024-01-22,DemocracyMeter,740,0.28149874236745076,0.2104804124218062,,0.3173915596692645,0.1425632734622329,0.43330210897551114
55,2024-01-22,Bardi University,656,0.48960256978956906,0.4421901418695199,,0.24368690400278836,0.1368164772025115,0.4168057412059909
56,2024-01-20,Policy Voice Polling,1538,0.00698548979080138,0.4663104697707383,,0.031086443029531285,0.1110866603363343,0.305790873728768
57,2024-01-18,Pulse Analytics,2164,0.2734305430293395,0.0639423530968673,,0.14886316402948385,0.4134921655438628,0.16372054665768865
58,2024-01-17,Verity Insights,1541,0.13782734003285713,0.016847380219059294,,0.3190529461556222,0.11734772660384718,0.4797429212994802
59,2024-01-16,Bardi University,710,0.09105432510813277,0.2578834358263548,,0.04274471959450876,0.47057721628873495,0.3508801583248338
60,2024-01-15,Mandate Metrics,2031,0.25831472146952467,0.39572732791805976,,0.31767973924697634,0.10884384531316954,0.0688459959078691
61,2024-01-15,DemocracyMeter,742,0.286719415114457,0.07986038314874994,,0.2894758181250913,0.1254363363161231,0.003813868943629284
62,2024-01-14,Civic Pulse,2640,0.4652937490138684,0.25579621251665313,,0.12249443855774594,0.2069159683302506,0.207457157704025
63,2024-01-13,Policy Voice Polling,1441,0.4449335970901863,0.0955900884539751,,0.17018666911653146,0.3148020974201421,0.4355395883170125
64,2024-01-11,Mawmsey Reports,3076,0.22634927393143278,0.32734579298293043,,0.4039621248249105,0.28336980777154075,0.08852974513516643
65,2024-01-10,Verity Insights,1473,0.19130621259294567,0.1528782266601858,,0.3666395883726141,0.22096430682282686,0.030213998031130895
66,2024-01-10,Capitol Opinion Research,997,0.14935264014630528,0.07149597343317565,,0.33442983204704907,0.22938948870532933,0.21270845011268175
67,2024-01-10,Bardi University,679,0.4785331199413411,0.2609827163975203,,0.33516900520682585,0.45110521822961386,0.409752557170737
68,2024-01-08,DemocracyMeter,738,0.42463292442143535,0.18823126625777947,,0.0435582303004749,0.35010265912425864,0.008240995720149968
69,2024-01-06,Policy Voice Polling,1470,0.2612010047937101,0.3037332376877746,,0.4745831700117149,0.007548325917400345,0.4569896868282024
70,2024-01-04,Pulse Analytics,2064,0.13348845654428554,0.1824061991206129,0.09384274320460001,0.31593773690577337,0.36731064003272096,0.37863998594685955
71,2024-01-04,Bardi University,659,0.32944752829515817,0.1625324091618473,,0.2769745225845283,0.13217874879566766,0.446994950742167
72,2023-12-30,Policy Voice Polling,1391,0.30657924713768414,0.12031672923006248,0.3128796536738607,0.06079064079263796,0.27750115356922395,0.04426802166030608
73,2023-12-18,Mandate Metrics,1944,0.006714700878111379,0.16378747985410524,0.4820372652617782,0.0875288356926,0.4546673397594079,0.17929104676763213
74,2023-12-18,DemocracyMeter,756,0.19967133527417463,0.49201544493237315,0.4136781269551261,0.06694167122963884,0.2625923143996663,0.13578454977911875
75,2023-12-17,Civic Pulse,2662,0.1076122699056195,0.20070946411160784,0.2188701250262058,0.19535863820866245,0.17251689511153429,0.024875238496408658
76,2023-12-17,Bardi University,704,0.3494785732122296,0.2907985690029179,,0.06790015674178995,0.4519558703354584,0.4714579175997545
77,2023-12-16,Policy Voice Polling,1519,0.260113370975975,0.3573690279346958,0.15648203804422572,0.07809715152484725,0.3305700642995782,0.08013435526424784
78,2023-12-13,Verity Insights,1584,0.44935134053265835,0.23870034995088202,0.15641479266711789,0.31332625831350874,0.3224636723352116,0.2881124249959908
79,2023-12-13,Capitol Opinion Research,1039,0.45899114514549355,0.32542790456703663,0.278124450142549,0.29559733061533106,0.05088676593982161,0.010113759544180145
80,2023-12-12,Mawmsey Reports,3097,0.093504256717659,0.05082187763230389,0.15532070045784785,0.3589779702882569,0.2949689926365048,0.4421872158945388
81,2023-12-11,DemocracyMeter,729,0.24419362528109634,0.0936368183227248,0.2147775260711774,0.2500330890388685,0.4071072181032959,0.25495379342679503
82,2023-12-11,Bardi University,699,0.34909838507263047,0.18311655838149304,0.13585748636253886,0.4757521318302188,0.20138907087801589,
83,2023-12-09,Policy Voice Polling,1525,0.24496749610997248,0.3874385235907167,0.1999482700280069,0.10694889019503062,0.3579662243705388,0.444056120789265
84,2023-12-07,Pulse Analytics,1999,0.2545579488136983,0.3822422117706149,0.3536930406120208,0.13253121285280672,0.3626364470042936,0.41928564114167605
85,2023-12-06,Verity Insights,1539,0.34383448894045243,0.2883848364274392,0.004699350063625873,0.4939814163444771,0.42926576149734,
86,2023-12-05,Bardi University,680,0.09044130997907818,0.43794384956406884,0.14798128102547853,0.4725540597474868,0.4890170743515937,
87,2023-12-04,Mandate Metrics,1922,0.4294172420564112,0.05409156970129314,0.3745012872141826,0.3069210560254649,0.3894526170308265,0.30360012805747905
88,2023-12-04,DemocracyMeter,758,0.4372687015281319,0.43543672543997597,0.3822468766560591,0.000889050530763158,0.368668485603911,0.4197114656821537
89,2023-12-03,Civic Pulse,2556,0.264326877452205,0.11407152848333368,0.23339021780830288,0.10423088005136827,0.3521066276921274,0.43098774101227844
90,2023-12-02,Policy Voice Polling,1465,0.49304749714444324,0.274160118088307,0.4118597782486424,0.4340384334441254,0.2029767514583521,0.10971247826642977
91,2023-12-01,University of Bellville-sur-Mer,1635,0.21660705377148887,0.3456518450767874,0.021547056454530256,0.3601236797064845,0.2372453303731784,0.16248894461404462
92,2023-11-29,Verity Insights,1477,0.39972666634858317,0.14796395079584046,0.17523898665391618,0.20912800042278645,0.039986232008518974,0.122759722742668
93,2023-11-29,Capitol Opinion Research,981,0.40022743506257036,0.1707983120264212,0.4298215395899524,0.3090470739608927,0.1646446978790062,0.024431195893511892
94,2023-11-29,Bardi University,676,0.2359946937112416,0.22300716338971105,0.01620652519831789,0.09720173403897309,0.16489883681447737,
95,2023-11-27,DemocracyMeter,710,0.2984688669695052,0.27308588969738573,0.3100381564853222,0.0711307886217018,0.3144720842842548,
96,2023-11-25,Policy Voice Polling,1506,0.10101411812148187,0.10771142650348825,0.4576268846282176,0.3899403672061983,0.20737758563095265,0.4415445402808921
97,2023-11-23,Pulse Analytics,2096,0.10392230664470531,0.24579097055694765,0.04939748151243323,0.09096592257824737,0.04349287966428955,0.25125276153179604
98,2023-11-23,Bardi University,677,0.2519720430599386,0.15202458662933876,0.008981932926781677,0.24561131547386317,0.13229106054170725,
99,2023-11-22,Verity Insights,1529,0.014142358874896566,0.19827709872998805,0.3167351545992306,0.47774695070097645,0.08787380113451981,0.34078063276556025
100,2023-11-20,Mandate Metrics,2020,0.09868645001981324,0.3085544872072408,0.19091438552156043,0.06419641769613516,0.08673130167628418,
101,2023-11-20,DemocracyMeter,733,0.032085458292235414,0.14099718106143877,0.14877929204386514,0.39799993641861486,0.24481328211301673,
102,2023-11-19,Civic Pulse,2569,0.1374772713357278,0.23544930428198563,0.23249957654666392,0.07601683224419692,0.4361962760931611,0.38142196937358525
103,2023-11-17,Bardi University,686,0.21908232117480897,0.17444643017938471,0.4954724617090567,0.2328805705354095,0.1061244333807786,
104,2023-11-15,Verity Insights,1515,0.08534047720379162,0.37223121739213827,0.045168097377041916,0.4669144620907372,0.24278970626405422,0.2478113442658701
105,2023-11-15,Capitol Opinion Research,1000,0.021889971477727643,0.28573521638897337,0.4824933399038466,0.21766305433710292,0.3612311526667994,0.09759143360421252
106,2023-11-13,DemocracyMeter,765,0.241998638423163,0.0020303092059297256,0.09602731952817628,0.21425905772587978,0.4461486093006575,
107,2023-11-12,Mawmsey Reports,3065,0.12560764735948554,0.015197176458108308,0.486053969884141,0.03374602380914865,0.0785560603085973,
108,2023-11-11,Policy Voice Polling,1519,0.20950056629612973,0.2912617924014248,0.43708968236162926,0.41047386389904167,0.31761387266895197,0.40846372891857835
109,2023-11-11,Bardi University,689,0.4697775382304426,0.3108611358944847,0.3001864124308242,0.054563911464431125,0.3663200360939573,
110,2023-11-09,Pulse Analytics,2094,0.1914406228266352,0.48886506378979955,0.16038354674444932,0.2350498501041599,0.07429713446787928,0.008717134795944215
111,2023-11-08,Verity Insights,1563,0.4270984003216328,0.37826941001802306,0.16085806314529488,0.29822375605014906,0.23613412637557263,0.2224555286888325
112,2023-11-06,Mandate Metrics,1950,0.256662619246412,0.40063554257096273,0.27631721737711296,0.2055415512261453,0.05562401115788923,
113,2023-11-06,DemocracyMeter,749,0.2717545366851895,0.3807001096244211,0.09897894803009233,0.08108229116909432,0.11814166818985616,
114,2023-11-05,Civic Pulse,2559,0.39750473972115974,0.4542949266928038,0.36209454880721115,0.29769650168127304,0.33996202755623295,0.40119723311168076
115,2023-11-05,Bardi University,650,0.32793310021827626,0.2130120092174666,,0.12689893046707534,0.1558150452089473,
116,2023-11-04,Policy Voice Polling,1398,0.05612853800489831,0.43839031848473076,0.21032062763293052,0.4222972066894672,0.17749029290352442,0.40525283657040995
117,2023-11-03,University of Bellville-sur-Mer,1556,0.31712610525957147,0.49965803363210975,0.08199528891454427,0.26332441353076363,0.29517765637107435,0.46697277414253197
118,2023-11-01,Verity Insights,1473,0.01244476484241247,0.018844881304283245,0.05107650576416439,0.2709371969513645,0.46646233753509586,
119,2023-11-01,Capitol Opinion Research,1053,0.3986064884321104,0.4574721514521175,0.4630065341700149,0.07136993707523226,0.021292998861445145,
120,2023-10-30,DemocracyMeter,713,0.4955502452902007,0.12481847231553234,0.3339808341725871,0.37959659707983057,0.23512841846801913,
121,2023-10-30,Bardi University,669,0.14429906447295665,0.40159756506871874,0.1448763077326205,0.10447345383075818,0.3487863306701033,
122,2023-10-28,Policy Voice Polling,1469,0.4626044827154455,0.2406880810743306,0.2826135048531693,0.30110689558567694,0.017895517926551696,0.18528754814119092
